Text	Start Time (s)	duration	label
that's as good as having an ultimate all	3247.64	4.4	1
the time and he is cleaning up with that	3249.16	5.12	1
Stinger opening kill on the round final	3252.04	5.36	1
two kills on the round tens is let loose	3254.28	6.64	1
right now alow by again for loud here	3257.4	6.76	1
and they have not had a good time once	3260.92	5.24	1
they get to the site van silly it seems	3264.16	4.76	1
like loud needs to figure out a way	3266.16	5.04	1
again to start chip damaging Sentinels	3268.92	4.24	1
before they get to the site get this	3271.2	3.32	1
utility out of their hands cuz the	3273.16	4.28	1
retake is just too strong okay ramp	3274.52	6.96	1
control here for loud's try and pressure	3277.44	5.8	1
try and get Sentinels to move dislodge	3281.48	3.8	1
them from the original starting spots	3283.24	4.4	1
and coming up from the vent could get a	3285.28	5.0	1
kill here on to zelis her the drops as	3287.64	4.439	1
zelus goes back up there's a smoke for	3290.28	3.64	1
him to hide behind the Viper wall makes	3292.08	3.52	1
that out of safety so the time out but	3293.92	4.32	1
at least a stinger through two smokes	3295.6	5.48	1
puts zelus	3298.24	6.68	0
down that's crazy Vance Sentinels oh	3301.08	5.681	0
nice shot in the 10 yeah that's crazy	3304.92	4.8	0
Sentinels are losing players with a buy	3306.76	5.76	0
here from loud a lower buy that they	3309.72	4.359	0
have finally the anchor towards the back	3312.52	3.839	1
of the site swings for two sad looking	3314.08	5.52	1
to trade it out Q was	3316.36	6.281	0
there 2 looking for a timing made it	3319.6	4.401	0
through	3322.64	5.76	1
but C Falls a 2v2 40 seconds left on the	3324.0	6.319	1
clock spike is still up so they actually	3328.4	3.719	1
manage to take it back and move forward	3330.32	3.201	1
but John	3332.12	5.081	1
CU not loud to leave anywhere else as	3333.52	6.68	1
Rob Moore would say this kid can frag	3337.2	6.08	1
holy moly and he does calling the shots	3340.2	6.0	1
fragging the shots as well and the	3343.28	4.12	1
interesting thing I wanted to mention	3346.2	3.839	1
about that round Sentinels used that	3347.4	5.159	1
exact strategy to kill sadak when he had	3350.04	4.481	1
a judge and vent the last time they	3352.56	4.24	1
played so loud's like oh this Strat	3354.52	4.799	1
let's do it four up ramp one through mid	3356.8	5.28	1
zelis gets out and Sentinels still find	3359.32	4.121	1
a way to come up with the round even	3362.08	3.0	1
with a cheeky little trap play there	3363.44	3.879	1
from	3365.08	2.24	1
loud all	3369.32	5.52	1
right loud has been collecting these	3372.16	5.08	1
timeouts once they have this Rolling	3374.84	4.681	1
Thunder a bit a few ultimates to use	3377.24	3.799	1
here full ball for	3379.52	3.799	1
Sentinels yeah looking how things starts	3381.04	3.921	1
off though when we look at this rolling	3383.32	3.361	1
Thunder they not really trying to set	3384.96	3.76	1
something quick even spike is dropped	3386.68	3.399	1
trying to avoid flashes at the beginning	3388.72	2.16	1
of the	3390.08	3.121	1
round Wall comes up on the attack	3390.88	3.919	1
there's no answer for Sentinel so for	3393.2	3.32	1
Sentinel are they're staying quiet on	3394.8	3.56	1
their positions of where they're trying	3396.52	3.92	1
to hold the a site yeah they have	3398.36	3.841	1
options right they're keeping kawen in a	3400.44	3.639	1
nice fault line position they can go for	3402.2	4.119	1
ramp if they need to in a bit or they	3404.08	3.72	0
can go for something else we see that	3406.32	3.28	0
fault line coming back off a cool down	3407.8	3.961	0
so it wasn't an initial push from	3409.6	4.801	0
Sentinels giving safety here to both	3411.76	4.039	0
sadak and	3414.4	4.32	0
less so that's one Guiding Light one	3415.8	4.921	0
Trailblazer now used over towards the	3418.72	3.44	1
right side of this map I think this	3420.72	3.399	0
might activate your BS side a little	3422.16	3.12	0
start to walk	3424.12	3.841	0
in they get the cam and they press on on	3425.28	4.759	0
both ends so they actually didn't even	3427.96	4.079	0
break the cam yet for loud but it did	3430.04	3.361	0
smoke and actually the Trailblazer came	3432.04	3.0	1
up and that's actually quite crazy cuz	3433.4	3.12	0
not only the camera didn't break the	3435.04	3.241	0
Trailblazer did not break the trip but	3436.52	3.64	1
it got pinged out here by sedak as he	3438.28	3.759	0
dogged up so loud's going to have to be	3440.16	3.199	1
ready once to start hitting a sight if	3442.04	2.56	1
they want to split towards the a site	3443.36	3.041	1
through this Rolling Thunder just get	3444.6	3.76	1
ready so you can break this trip and not	3446.4	4.08	1
get sprayed by Z's position howder	3448.36	3.72	1
really trying to get the Seekers out	3450.48	4.8	1
right now in Sai is not given it here we	3452.08	4.401	1
go for the Rolling Thunder into the	3455.28	2.48	1
sight it's going to still be the retake	3456.48	2.0	1
from	3457.76	3.279	1
s The Flash in The Seekers does not	3458.48	5.48	1
allowed to get Q's kill on S but swings	3461.04	5.04	1
out still for that one second on the top	3463.96	4.44	1
of the a Heavens to drop two of his own	3466.08	3.881	1
spite let to get picked up once again	3468.4	4.56	1
nice shot by second to Second turning it	3469.96	4.96	1
around back in favor of loud and it's	3472.96	4.44	1
only zelus by himself first Contact	3474.92	4.56	1
against qck and there's that second	3477.4	4.24	1
swing from tuis not hunting down towards	3479.48	5.04	1
the side but loud defly instead of	3481.64	4.52	1
playing protocols just won the fight	3484.52	4.76	1
fight fight they had to at that point I	3486.16	5.76	1
mean as the clock runs down you don't	3489.28	4.559	1
get much more room to work you're going	3491.92	3.52	1
to have to go and you're going to have	3493.84	4.121	1
to accept that Seekers will find that	3495.44	6.159	1
out great push through flashed and	3497.96	6.52	1
denied by Seekers loud still getting the	3501.6	5.48	1
ground they need and are finally able to	3504.48	5.2	1
push forward out of the sight not allow	3507.08	4.28	1
send that setup that they've been	3509.68	4.48	1
getting unfortunate	3511.36	5.801	1
unfortunate four to one now loud feeling	3514.16	4.919	1
good though very fortunate for them	3517.16	4.32	1
ultimate for qck just one away here if	3519.08	4.76	1
they can focus an orb	3521.48	4.48	1
and definitely a light at the end of the	3523.84	4.121	1
tunnel to start grabbing more rounds	3525.96	4.56	1
obviously a buy here for Sen they had	3527.96	3.92	1
quite a bit of money to go through with	3530.52	3.4	1
those first four rounds this is a	3531.88	4.719	1
default we see go to a lot so set up in	3533.92	5.72	1
this 221 qck will now push up towards	3536.6	5.161	1
the vent sadok behind but they don't	3539.64	4.56	1
have time what a read here by Sentinels	3541.76	4.319	1
showstopper does not get any kills yet	3544.2	4.159	1
though you saw the idea out from loud	3546.08	3.52	1
but we hold that thought for a bit	3548.36	3.96	1
paranoia for allow to try to re-engage	3549.6	4.921	1
for control inside garage and finally as	3552.32	3.361	1
it slows down you could see it the	3554.52	3.0	0
trailer came out from sedak and he just	3555.68	3.919	0
waited at the corner with this dog up	3557.52	3.839	1
towards middle hoping to bait the show	3559.6	3.921	1
stoer out towards middle but then S	3561.36	2.841	1
okayy no we're going to take the	3563.52	2.64	1
extremity said and almost caught her few	3564.2	4.2	0
off that show	3566.16	4.6	1
stopper everybody trying to flip the	3568.4	5.439	1
timing right now sadak oh my gosh oh	3570.76	5.44	1
he's being watched three players are	3573.84	3.841	1
looking back they knew the orb was	3576.2	3.48	1
coming down sadak finally spotted and	3577.68	4.879	1
he's in heavy trouble yeah easy diggings	3579.68	5.52	1
here for Z as shooting anry towards the	3582.56	5.121	0
back of the site cage coming up get the	3585.2	3.56	0
hat	3587.68	3.679	0
out beat bossing around the map here as	3588.76	4.079	0
the rest of his team is able to clean it	3591.36	4.321	1
up from behind just Cypher walk around	3592.84	5.321	0
there trying to find his hat trying to	3595.68	5.32	0
find a body but he just could not he	3598.16	4.879	0
just couldn't find that no all right 5	3601.0	5.079	0
to one as we come up onto round seven Z	3603.04	6.241	0
92 and one I feel like there has been a	3606.08	5.121	0
lot of showstoppers out of Z in just	3609.28	4.839	0
this series pressuring it that one from	3611.2	5.52	0
loud really well absorbed understanding	3614.12	5.48	1
that would go into mid or or from B main	3616.72	5.0	1
they could rotate back around to Mid but	3619.6	4.161	1
Sentinels just seem to have the read	3621.72	4.8	1
after the initial again Z's been a	3623.76	4.079	1
nuisance towards the top of that a	3626.52	4.48	1
heaven side and Loud can't seem to	3627.84	5.28	1
really push him away from that spot and	3631.0	3.52	1
as they try to go for control towards	3633.12	3.761	1
the aamp this time a slight change of	3634.52	4.039	1
pace TS trying to play that aggressive	3636.88	3.439	1
position up towards the aamp doesn't	3638.56	4.361	1
even care about the satchels andus balls	3640.32	4.76	1
as	3642.92	2.159	1
well so you see sometimes it's	3645.28	3.64	0
aggressive from loud sometimes it's slow	3647.4	3.24	0
on the a ramp and even the positioning	3648.92	3.439	0
is well read from how Sentinels want to	3650.64	5.439	1
play seconds uh T and Z known for	3652.36	8.2	1
anchoring quite well on that a heaven	3656.08	4.48	1
side cover going now already loud	3660.8	5.52	1
working numbers down here Sentinels is	3664.0	5.24	1
not making anything easy for loud I	3666.32	5.681	1
think this is what we see from sen right	3669.24	5.599	0
if we had tens on bind they'd be pushing	3672.0	5.24	0
extremities everywhere the sen comp for	3674.84	4.801	0
split means they stay back they crowd	3677.24	4.76	0
together they retake together being able	3679.64	4.439	0
to flip Styles and identities like that	3682.0	5.28	1
I think Mak Sentinels so strong and hard	3684.08	4.96	1
for teams to read that aggression oh the	3687.28	6.4	1
trip across too easy down a saw the idea	3689.04	7.241	0
there and that L ler 30 seconds left not	3693.68	3.879	1
going to do too	3696.28	3.72	1
much okay at least that kill onto John	3697.56	5.121	1
cuy winning that fight rare moment there	3700.0	5.119	1
for the IG of Sentinel sign you	3702.68	5.52	1
definitely see here with 18 seconds	3705.12	5.841	1
left Phantom in	3708.2	5.28	1
hand just going to try to save it but	3710.96	4.28	1
the idea for loud was trying to go for	3713.48	4.76	0
just basic utility hit that aite the one	3715.24	4.96	0
pesky trip not breaking that utility	3718.24	4.319	0
from the John cue side on that a site	3720.2	5.52	1
allowing the anchor player of s so good	3722.56	6.121	1
back of sight flower pots yeah hell like	3725.72	4.839	1
he's so good uh in all of these rounds	3728.68	4.639	1
that we've seen Cal play their defensive	3730.56	4.8	1
side on split so far if we think back	3733.32	4.081	1
just to the the round Zack blasted into	3735.36	4.72	1
B main we were almost about to talk to	3737.4	4.84	1
about loud setting up their default	3740.08	4.0	1
again right partially through the round	3742.24	4.64	1
loud want to set up a default it's kind	3744.08	4.841	1
of telling to just look at that scenario	3746.88	4.52	1
and say Sentinels doesn't want loud to	3748.92	4.48	1
do default anything they're not giving	3751.4	4.24	1
loud time to default anything or get the	3753.4	4.919	1
benefit of defaulting anything they are	3755.64	5.159	1
really messing with how loud approaches	3758.32	4.76	0
the game here one of them is just	3760.8	4.161	1
staying back staying safe and making the	3763.08	4.161	1
retake that much stronger so loud try to	3764.96	4.159	1
put the game in their hands one of our	3767.24	4.599	0
first fast blast packs up here that was	3769.12	5.0	0
facilitated by Cen Zen's breach fault	3771.84	3.121	0
line	3774.12	2.881	1
staying alert staying safe and this time	3774.96	4.319	1
swing towards heaven even though you had	3777.0	4.64	1
the same type of conditioning that it's	3779.28	4.401	1
Zing out there outside that window of	3781.64	3.88	1
the aide this time it was 10 trying to	3783.68	3.2	1
hold it out but you saw the Crosshair	3785.52	3.599	1
placement from louds side instant entry	3786.88	5.239	1
and Advantage for the	3789.12	3.0	1
attack slow play denial delay right now	3792.84	6.801	1
coming in just so loud can't complete	3796.88	4.679	1
the strategy they want but they're also	3799.64	3.439	1
happy to see some of this util from	3801.56	3.841	1
Sentinels let in the power that they're	3803.08	3.881	1
going to have to deal with as they enter	3805.4	3.399	1
a site looks like it might be a commit	3806.96	4.839	1
to B no okay we see start trolling down	3808.8	5.28	1
the sewers and the rotation back	3811.8	4.601	1
overx they're definitely gambling this	3814.08	5.121	1
rotate back towards that b side Seekers	3816.4	4.52	1
coming out just to keep those players	3819.2	4.04	1
anchored inside be that's going to make	3820.92	4.439	1
it difficult for zelus couldn't find any	3823.24	4.319	0
surprise kills no trap coming across on	3825.36	3.401	1
his bside	3827.56	3.24	1
hold he going to say potentially they're	3828.76	3.359	1
going to try to save their weapons here	3830.8	3.52	1
but look at that rotate back from senal	3832.12	4.48	1
7 seconds left and zelus is trying to	3834.32	3.881	1
find a	3836.6	4.24	1
timing screen down this is it they crowd	3838.2	4.159	1
together all the power in one spot from	3840.84	2.72	1
screens they still have a dog and a	3842.36	2.361	1
flash so that's going to help them get	3843.56	3.56	1
information already preemptive utility	3844.72	5.559	1
used by loud for the P PL there is the O	3847.12	5.0	1
coming through forcing the dog to fall	3850.28	3.76	1
back there's that flash to swing out and	3852.12	3.561	1
Q gets the first pick that's definitely	3854.04	2.8	1
going to be for the	3855.68	3.8	1
last it's kind of like you first never	3856.84	5.641	1
mind we don't want any of that	3859.48	6.0	1
loud what a quick round by them but	3862.48	4.96	1
let's look at how they took it it is one	3865.48	4.639	1
of theirs a spray from Les that opens up	3867.44	4.96	1
that's a 5v4 that's legit another spray	3870.12	3.761	1
coming through the smoke isn't something	3872.4	3.84	1
you can replicate but the speed loud	3873.88	4.64	1
took on that round is what kind of gets	3876.24	5.2	1
Sentinels off kilter there loud can do	3878.52	5.0	1
that again so definitely seeing that	3881.44	4.52	1
speed is playing to their favor qck is	3883.52	4.559	1
going to have ultimate after this so off	3885.96	4.0	1
the rip we might get it again from loud	3888.08	3.72	1
and I think that's the way they should	3889.96	4.04	1
go and I I love that slight adjustment	3891.8	2.961	1
from	3894.0	3.079	1
a simple just push towards that window	3894.76	3.839	1
because when you're looking at where the	3897.08	3.601	1
anchor player towards the a side usually	3898.6	4.161	1
s is just waiting towards the back of	3900.68	3.48	1
the map playing behind the trip so you	3902.76	3.519	1
don't really have too much presence on	3904.16	3.959	1
screens or elbows so they just want to	3906.28	3.161	1
gamble it there when the Wall comes down	3908.12	2.761	1
for loud to get the pick and the gamble	3909.44	4.0	1
pays off of course Sentinels are you	3910.88	4.439	1
going to try to readjust on this and it	3913.44	3.48	1
starts off early I mean sashi's already	3915.32	3.24	1
at the entrance here looking to	3916.92	3.32	1
potentially flash for	3918.56	4.201	1
info as a knock comes out for the first	3920.24	4.16	1
time too and we talked about that that	3922.76	3.359	1
line of sight right and look at T	3924.4	3.28	1
instead of being towards the a heav he's	3926.12	3.641	1
oping out down the straight line from	3927.68	5.919	1
screens towards the entrance of that a	3929.76	3.839	1
sight there's a check making sure the	3934.76	3.96	1
Viper wall that just went up and down	3937.12	4.16	1
from Les did not provide any	3938.72	5.96	1
movement a 131 a lot of options for loud	3941.28	5.0	1
here they can actually call any audible	3944.68	3.919	1
they want a very flowing Strat to go	3946.28	5.161	1
through vent or B main here or uh male	3948.6	5.24	1
rather and male has a lot of utility	3951.44	3.839	1
look at get that show ster out for	3953.84	5.72	1
control Den run away gets two	3955.28	7.241	1
what it was like from the grave is	3959.56	6.04	1
insane what one straight bullet probably	3962.52	5.039	1
before he fell down seriously boom	3965.6	3.921	1
that's two down and already the pit out	3967.56	4.441	1
on the defense Doo loud is still trying	3969.52	4.599	1
to commit into this spike is still up on	3972.0	3.279	1
the back of	3974.12	3.761	0
sedak zel is holding behind here the	3975.28	5.121	0
double box trying to wrap around waiting	3977.88	5.399	1
for the tap of the spike fre players	3980.4	5.399	1
just trying to clear out the pit and it	3983.28	4.721	1
never checked that corner so everybody's	3985.8	3.48	1
dling down on	3988.0	3.839	1
HP now the plant comes down zela still	3989.28	4.881	1
holds it giving a chance here for SEL to	3991.84	4.401	0
across even the hat comes out there's	3994.16	4.04	0
that kill from zelus they spot the last	3996.24	3.52	1
two players the lurk is not even going	3998.2	4.24	0
to working last one now pinged out two	3999.76	4.64	0
East on the top of B Heaven The Flash	4002.44	4.679	1
the swing the diffuse is started and the	4004.4	6.199	1
kill comes in for John cutie 7 to2 a	4007.12	5.96	1
round you can chalk up to New Jersey	4010.6	6.161	1
finest oh oh what a double kill from	4013.08	7.601	1
Heaven Z season has been unreal right	4016.76	5.88	1
now they talked about him on the desk in	4020.68	4.399	1
between game one and two he has been	4022.64	5.159	1
putting off numbers but also you put him	4025.08	4.361	1
in situations where you should see a	4027.8	3.601	1
player going down with no kills he'll	4029.44	5.0	1
come up with too he'll come up with the	4031.4	7.52	1
unreal play and it's just wearing away	4034.44	6.599	1
loud that they can't get past this kind	4038.92	4.08	1
of stuff right now flick of the day	4041.04	3.76	1
flick of the day	4043.0	3.279	1
you bring it back for something like	4044.8	3.841	1
that honestly operator still there	4046.28	4.56	1
Sentinels feeling very much in control	4048.64	4.959	0
of this game receiving each one of loud	4050.84	5.401	0
strats so far so what is next tuis gets	4053.6	5.2	0
the op we got double Omen operator on	4056.24	4.839	0
the map right now less with the alt if	4058.8	4.76	0
they can gain ground into a sight and	4061.08	4.641	1
maybe even try to flex with it to put it	4063.56	5.04	1
down first that's rare too usually it's	4065.72	5.119	1
used on the defensive side for Q and	4068.6	5.881	1
twois makes that work though once again	4070.84	6.361	1
a high gamble that pays off for a power	4074.48	4.839	1
play for loud but they still have to go	4077.2	4.72	1
some through some yeah heavy heavy fire	4079.32	4.641	1
power of Sentinels here but Tes alone	4081.92	3.84	1
towards the Gite only has that op to	4083.96	3.8	1
work with a push down from zela so we're	4085.76	4.16	1
trying to go for again those one and	4087.76	5.2	1
duns hoping to get two hoping to get	4089.92	5.439	1
information as	4092.96	6.0	1
well I think he gets a mid lurk they go	4095.36	6.0	1
all the way around sloud is being very	4098.96	4.16	1
safe here I think zel's just turned so	4101.36	3.0	1
he might have heard him	4103.12	4.36	1
cross got that little step if they make	4104.36	5.0	0
any noise on ramp well no there you go	4107.48	4.56	0
allows T to inch out a little bit more	4109.36	4.96	0
get that pick Z to join him towards the	4112.04	4.44	1
back of the site there's a second and	4114.32	4.561	1
he's been good in this position as well	4116.48	4.08	1
parano on both ends not allowing the	4118.88	3.76	1
push forward a TP backwards as	4120.56	5.159	1
well but then finally kuki andless comes	4122.64	7.559	1
in they traded out two versus two zelus	4125.72	6.08	1
too far to throw the sake bites down to	4130.2	4.201	1
deny the plant John	4131.8	5.121	1
to meet up with as yes Les gets the AL	4134.4	4.68	1
out contr the elbow and both moving	4136.92	4.0	1
towards the screen that's a wild amount	4139.08	3.639	0
of ultimate right there pushed out a bit	4140.92	3.759	0
because of the column giving them much	4142.72	3.721	0
more room to play with	4144.68	4.441	0
here what all what do they have two they	4146.44	4.399	0
could viper bite elbow and try to make	4149.12	3.599	0
their way in watching just the entrance	4150.84	3.721	0
to sight from the uh top side here but	4152.72	3.841	0
that boom bot gives a clue here oh that	4154.56	3.639	0
players are coming across the wall bang	4156.56	4.0	0
after but the second one is nowhere to	4158.2	3.761	1
just sticking the spike right now and	4160.56	4.4	1
zelis will get	4161.96	5.719	1
theuse at the beginning of this map we	4164.96	6.16	1
said Sentinels somehow gets these	4167.68	6.721	0
Insight sticks on the defuse they take	4171.12	5.36	1
the site with members of the opposing	4174.4	4.439	1
team still alive to force them out of	4176.48	4.48	1
their position where they feel safe that	4178.84	5.36	1
was out of the ultimate and I think loud	4180.96	5.04	1
also predicted they might find some	4184.2	4.281	1
utility at elbow both Swing Out middle	4186.0	5.799	1
sight and that's all they wrot Sentinels	4188.48	5.679	1
stick to defuse again it's coming all	4191.8	5.801	1
too common and they get the round 8 to2	4194.16	6.56	1
now for Sentinels it's not the same	4197.6	5.4	1
comeback that Sunset had for loud that's	4200.72	4.081	1
for sure I feel that there's a moment of	4203.0	4.76	1
pressure there for L to on a 2v2 ouch	4204.8	6.08	0
hold though it's a beautiful fall once	4207.76	6.6	1
again using that theault line is	4210.88	6.08	1
Cosmetics two Falls for this heavy	4214.36	3.839	0
pressure that Lou is trying to get	4216.96	3.68	0
towards middle SEL are crunching back in	4218.2	4.561	1
looking to fight back sadak is stuck	4220.64	3.92	1
behind the boxes Satchel coming out	4222.76	5.12	1
celus with a jump kill doesn't care	4224.56	6.24	1
twerks away Sentinels is not allowing	4227.88	4.88	1
loud to play the game right now	4230.8	4.12	1
continuously pushing up finding their	4232.76	4.68	1
own fights pushing loud out of their own	4234.92	5.239	1
strategies constantly here to reset try	4237.44	5.759	1
again less mechanically gifted ready to	4240.16	5.0	1
open up on any members that Peak but	4243.2	4.601	0
Sentinels stay hunkered down trading	4245.16	4.401	1
each other ready on these hard angles	4247.8	3.6	1
look even all the way out of a at this	4249.56	3.639	0
point usually you have members anchored	4251.4	4.4	0
in sight but they're not giving loud any	4253.2	4.321	0
opportunities exactly they got active	4255.8	3.04	0
information the camera is watching	4257.52	2.8	1
everything from a and also towards	4258.84	2.76	1
heaven they just flash towards the	4260.32	4.04	1
garage as well coming out from Sashi so	4261.6	5.079	1
now the only the only positions that	4264.36	5.56	1
they could think of is 30 seconds V or	4266.68	5.04	1
rotate back towards a main holding	4269.92	3.759	1
outside of the radius of that camera	4271.72	3.48	1
it's not going to be easy for allow to	4273.68	3.601	1
take position so you already see it	4275.2	3.48	1
still anchoring up now towards the	4277.28	3.6	1
middle yeah this give up this round yeah	4278.68	3.921	1
save for sure knowing the ultimates are	4280.88	3.799	1
there Zin could easily just pop in seems	4282.6	5.119	0
like he has alts on rerun right now just	4284.68	5.121	0
more in his pocket once he uses	4287.72	4.96	0
it and go which and which sorry gives me	4289.8	4.12	0
an opportunity to talk a little bit	4292.68	2.801	0
about that pressure I was talking about	4293.92	3.92	0
and falling on those slight mistakes it	4295.48	4.8	0
was a 2v2 where they boom on outside of	4297.84	4.44	1
their own pit to give their positions	4300.28	3.76	1
away and that's something that they're	4302.28	2.959	1
going to have to clean up here if they	4304.04	3.119	1
want to play against a Sentinels that	4305.24	5.0	1
look so polished this kickoff in this	4307.16	7.681	0
year in this season of the BCT Americas	4310.24	7.121	1
I don't think we've really I we've seen	4314.84	4.48	1
it before but it's uncommon to see a	4317.36	3.68	1
team be able to play to their win	4319.32	3.56	1
condition so much and not have it	4321.04	4.08	1
affected really at all by their opponent	4322.88	3.96	1
if they're able to to switch something	4325.12	4.32	1
so slightly and it it keeps the flow	4326.84	5.0	1
going look at that that's Mance man	4329.44	5.08	1
getting a head scratch right there it's	4331.84	5.92	1
a cute cat all right there's some L for	4334.52	5.08	0
you as we get back into the game final	4337.76	3.64	0
round here can loud pick up a third one	4339.6	5.4	0
and save off a quick two rounds or three	4341.4	6.52	0
if sen can grab pistol the second half	4345.0	5.679	0
explod exactly a rare Fallout explosion	4347.92	3.799	0
towards the	4350.68	3.641	1
P senel just holding back using the	4351.72	4.52	1
camera looking to pressure up trap	4354.32	4.56	0
towards the male instead plant coming	4356.24	4.121	1
down for B	4358.88	5.6	1
main Seekers out as well instant retake	4360.36	6.68	1
attempt qck surprises one but second	4364.48	4.92	1
comes out with the CH stopper following	4367.04	5.119	1
The Seekers gets the N Les is out	4369.4	4.56	1
towards the pillar gets a pick look at	4372.16	3.841	1
that TP for the FL from as well things	4373.96	3.88	1
are looking good here for alloud on the	4376.0	3.88	1
post plant a high L stack now towards	4377.84	3.64	1
the dumpster paranoia and Flash coming	4379.88	3.24	1
through the high low is good for that	4381.48	3.44	1
first pick T looking to trade it back	4383.12	3.84	1
looking left and right through the the	4384.92	5.6	0
Viper or to get the pick but John cuy	4386.96	5.719	0
now in a clutch situation remember that	4390.52	4.44	1
TP I talked about before not even need	4392.68	4.841	1
it this time around cine winning his 1	4394.96	4.88	1
V1 allowing the half to finish N9 to	4397.52	5.04	1
three they finally get that third round	4399.84	6.28	1
and it again it is a huge one Sentinels	4402.56	7.159	1
had the read the whole time it took loud	4406.12	5.96	1
everything they had and the tank to get	4409.72	5.281	1
these rounds to hold the sight to get	4412.08	4.159	1
themselves the victory there and we	4415.0	3.04	1
could see just in the final rounds how	4416.24	4.721	1
Sentinels would make loud work for it	4418.04	5.92	1
over and over we're not seeing loud dive	4420.96	5.32	1
in off the back of qck and Sentinels	4423.96	4.92	1
know that qk isn't getting minivan so	4426.28	4.28	1
that I could see him play just like Z	4428.88	3.64	1
now but absolutely speaking of him 12	4430.56	4.4	1
and six so far the spray transfer that	4432.52	4.639	1
we saw that was sick on that first half	4434.96	3.6	1
when they were playing against the show	4437.16	4.241	1
stopper of Q on that opener Sentinels	4438.56	4.84	1
taking the lead Now by six taking the	4441.4	5.68	1
attack side of split where loud still	4443.4	5.92	1
also has a pretty decent split side on	4447.08	4.88	0
defense an opportunity to fight back and	4449.32	5.8	0
the fight starts for Mid control look at	4451.96	4.12	1
this	4455.12	3.559	1
wall louds put up the Sentinels will	4456.08	3.96	1
have to weave through a bit if they do	4458.68	3.601	0
want to take uh a b male	4460.04	4.76	0
control jump Peaks to come	4462.28	5.0	0
through sedak would love to save those	4464.8	3.64	1
guiding lights and	4467.28	3.84	1
Trailblazers yeah wins that wins that	4468.44	5.4	1
one rather qy K and sedak low on that HP	4471.12	5.2	1
and even senel resetting in the mid	4473.84	4.2	1
round pivoting towards this a side but	4476.32	3.2	1
still having a couple of players working	4478.04	3.679	1
towards B yeah smoke delay just came	4479.52	3.92	1
coming out of tuis there he's going to	4481.72	4.121	1
take a ramp control just for now and	4483.44	3.64	0
this is going to give loud the thought	4485.84	3.52	1
that they can rotate over towards that b	4487.08	4.88	1
side if if zelus can sell this okay the	4489.36	4.76	1
noise is already there from a	4491.96	4.199	1
yeah that Trailblazer comes up trying to	4494.12	3.84	1
find a timing as two spamming with his	4496.16	5.04	0
ghost through that smoke R cat reload	4497.96	5.52	1
yeah dog finds information towards be	4501.2	3.721	1
main but there's a beautiful flash	4503.48	4.159	1
double swing and look beautiful as a	4504.92	4.239	1
rotate for L looking for the pressure	4507.64	3.121	0
towards middle as well and we mentioned	4509.16	4.641	1
two lurkers on Sentinal side John Cy	4510.76	5.64	1
punishing that push from loud already a	4513.8	5.48	1
five on three as the Satchel comes in	4516.4	4.64	1
and will have a secured plant for	4519.28	5.919	1
Sentinels in the second pistol of split	4521.04	4.159	1
tough entry there you'll get sadok back	4526.28	5.68	1
over no utility to get back in this one	4528.84	4.12	0
so it's just going to be the three	4531.96	3.199	1
members to help with a fault line yeah	4532.96	5.719	0
five of Sentinels so a quick take by sen	4535.16	5.241	0
with a little bit of pressure around the	4538.68	3.681	0
map knowing what rotations might be	4540.4	4.08	1
coming through and just playing this	4542.36	3.56	1
wall a little bit and that small	4544.48	2.92	0
pressure that you mentioned that you	4545.92	3.2	0
mentioned rather towards that BS side	4547.4	4.16	1
kept SED do the whole round pretty much	4549.12	3.8	1
took a couple of seconds before he	4551.56	2.56	1
actually rotated back with the rest of	4552.92	3.4	1
the team to move in this aight for the	4554.12	3.72	1
attempt at the retake that will get	4556.32	4.28	1
fully denied by Sentinels only losing	4557.84	6.12	0
SAU in the process yep pulling those	4560.6	5.44	0
members to Anchor the site longer than	4563.96	4.4	0
they need to Sentinels seem to have such	4566.04	6.32	0
a read on what loud does right	4568.36	6.4	1
now see what happens the sheriff here	4572.36	4.48	1
for Les feeling pretty good with a bit	4574.76	4.12	1
of that money as we watch the	4576.84	4.92	0
replay combined	4578.88	6.0	0
retake get back into their Spike and	4581.76	5.68	0
Sentinels find that first round so loud	4584.88	4.799	0
did grab three it kind of takes the	4587.44	3.88	0
pressure off of losing that pistol but	4589.68	4.681	0
it never feels good to not get the start	4591.32	5.6	1
two bies going in for loud here trying	4594.36	3.839	1
to play it Coast to the chest and	4596.92	3.239	1
hopefully get some of these angles right	4598.2	3.601	1
on top of	4600.16	3.881	1
Sentinels they're going to work the wall	4601.8	3.8	1
still with a bit of hesitation on the	4604.04	2.96	1
left side of the map to see if loud	4605.6	4.0	1
wants to push you been pinging it out	4607.0	4.159	1
yeah that's going to be one of their big	4609.6	3.599	1
things coming into the into the gun	4611.16	4.441	1
rounds if loud cannot get extremity	4613.2	4.401	1
control this is where you start	4615.6	4.0	1
understanding the play style of loud L	4617.6	3.079	1
that they have they usually have	4619.6	2.84	1
shotguns to work with this time two bies	4620.68	3.681	1
for Cen to die so as soon as a fault	4622.44	4.0	1
line came out instant wall instant	4624.36	4.0	1
camera just to try to spot players	4626.44	3.96	1
running through and as nothing really	4628.36	4.56	1
happens to playing around this map	4630.4	4.68	1
around the a	4632.92	5.08	1
site it really kind of leaves kadine pin	4635.08	5.48	1
here in this position so then the	4638.0	4.6	0
